model,size,nodes,edges,time,mem
ETPhys,216,47,60,0.009,123
etsl,26,83,90,0.011,573
etunit,275,33,39,0.009,123
eur,58,32,49,0.008,330
euz,463,38,64,0.01,635
evaluation,47,18,25,0.008,5
evaluationresult,26,10,10,0.007,63
EveAPIDBModel,6612,634,691,0.035,4331
event,124,84,140,0.009,123
EventOrientedLanguage,176,96,171,0.01,727
EventPatternLanguage,136,88,130,0.01,512
events,47,27,39,0.007,576
evidence,15,8,8,0.008,328
evilsystem,109,43,74,0.008,576
evm,74,41,62,0.007,120
Evolution,54,31,55,0.007,324
evolved,48,23,52,0.007,572
example-ecore,15,6,7,0.007,0
example,42,23,42,0.007,59
ExampleEMF,35,17,28,0.006,336
ExampleInteractionModel,25,13,16,0.007,58
Exceptions,16,8,8,0.005,0
experiment,16,45,41,0.009,578
exporter,145,20,24,0.006,58
exportmodel,37,18,21,0.007,388
expr,24,12,13,0.006,0
ExprDemo,208,123,221,0.01,690
EXPRESS,734,566,1164,0.037,3880
EXPRESSb,1043,531,1066,0.033,3071
expression,18,10,10,0.008,217
expressions,106,64,99,0.01,642
ExSchema,31,17,24,0.007,3
ext,8,3,2,0.007,4
extended,15,3,3,0.007,574
extendedmodel,9,3,2,0.005,63
ExtendedPO,81,49,68,0.008,387
ExtendedPO2,75,44,62,0.008,635
ExtendedTypes,41,22,27,0.007,8
Extended_UML_Core_Package,50,36,58,0.007,120
extension-manifest,353,81,110,0.012,577
extension,14,5,4,0.007,5
extensionmodel,19,7,7,0.005,6
Extensions,29,7,8,0.005,440
extensionsmaple,11,5,3,0.005,5
externaldatasource,10,6,4,0.004,3
extjs,49,26,34,0.006,122
extlibrary,91,51,86,0.007,379
extractor,130,14,14,0.006,512
fabric3,347,48,60,0.008,118
faceletTaglib,40,25,33,0.006,336
faceletTaglib_2_0,909,114,169,0.012,1200
FacesConfig,4828,601,907,0.036,3643
facet_definition,48,24,34,0.009,512
fact,111,75,103,0.01,906
Families,20,10,11,0.005,0
family,31,18,25,0.006,61
FCM,261,128,151,0.014,-39468
featherweightjava,67,37,71,0.007,138
Feature,25,12,15,0.008,686
featureDiagram,80,40,77,0.008,70
FeatureDiagrams,46,31,56,0.008,507
featuremodel,69,38,56,0.008,70
Features,20,11,15,0.006,517
feature_old,125,73,124,0.01,136
Februar,18,11,15,0.006,5
FederationOffice,556,244,376,0.018,845
felix,1041,119,148,0.013,820
Fiber,62,37,52,0.006,137
fieldmapping,22,12,13,0.007,6
FieldSelection,27,12,15,0.007,240
FileHistory,26,12,13,0.006,5
filetransfer,116,22,22,0.007,141
filter,342,54,67,0.009,361
filtermodel,9,3,2,0.006,577
FilterSetup,101,37,83,0.009,67
Fin,82,63,82,0.009,512
FiniteStateMachine,37,23,50,0.007,3
Firewalll,28,16,20,0.007,512
fiw,11,5,4,0.006,3
FJ,86,52,86,0.01,132
fl,227,33,48,0.008,514
flat11,617,86,113,0.009,577
FlatQVT,989,416,837,0.047,10243
