model,nodes,edges,time,mem
com.ibm.commerce.content.facade.datatypes,395,545,231,7064
EnumLiterals,7,6,12,449
ModulobTypes,13,18,13,356
gmfgraph_1.25,216,337,42,1395
QoS_Characteristic,27,40,16,339
com.ibm.commerce.order.facade.datatypes,464,583,232,6608
l2,63,62,22,649
DTMP,1,0,10,315
DiVA,123,219,29,976
RunHALL,381,717,70,2223
Spl,1,0,12,572
org.eclipse.datatools.connectivity.oda.design,273,360,56,1914
FractalItf,171,261,35,1045
SimpleSBVR,68,123,21,659
BaseCST,144,274,35,1083
GenModel2,17,19,15,333
Specio2,102,100,25,679
cityfurniture,24,24,22,851
Karel,57,81,19,621
ObjectDsl,20,27,15,334
EssentialOCLCST,92,157,26,669
kevoree,149,244,33,1022
MGraph,32,45,17,318
org.eclipse.mylyn.reviews.frame.core.model,38,60,17,361
OCL_Operations,33,69,18,348
QVTOperationalCST,233,317,44,1580
ProjectProofProcess-v1.0.0,9,9,13,299
component.soap,62,79,30,872
claim,21,26,16,309
component.camel.quartz,15,16,20,580
ATOM,1,0,10,290
ATL-Profiler,33,41,15,357
ACME,43,73,18,600
BD,20,29,14,318
Connectivity,132,253,37,1083
accesscontrol,33,60,16,325
Anfelisa,11,16,13,309
Rss20,98,112,29,940
