model,nodes,edges,time,mem
gameserver,8,15,8,290
GameServerModel,38,72,8,458
gameworld,69,108,10,603
Gantt,52,60,9,383
Gatekeeper,172,241,15,1090
gautosar,362,627,25,2319
gbind,268,572,18,1928
gcomponent,107,169,11,748
Gdbsl,5,5,32,215
gedcoml,60,81,8,502
General,192,218,12,1012
generatedModel,15,23,6,358
generatedModel2,16,25,7,309
generatedplugin,34,36,9,359
generator2,3,2,7,206
GenericEditor,32,48,10,306
genericity_dsl,36,58,7,664
GenericOutline,21,32,7,347
generics,43,54,36,5932
Genesis,22,32,9,354
GenModel,186,240,14,1095
GenModel2,17,19,8,342
genotype,32,61,13,1073
Geographical,92,135,10,731
GeoTrans,1,0,8,235
germplasm,94,156,15,1914
GF,209,314,19,1323
Gherkin,39,59,8,428
GIS_Connectivity,375,573,22,2505
GitModel,33,51,18,3683
globalinfluenzamodel,7,6,8,201
Glproto,10,9,7,189
Glsl,160,277,12,1066
glucose,68,84,12,557
gmfgen,756,1141,39,4807
gmfgenext,63,76,11,589
gmfgraph,235,368,20,1400
gmfgraph_1.23,214,333,14,1365
gmfgraph_1.24,215,335,15,1381
gmfgraph_1.25,216,337,18,1366
gmfgraph_1.26,218,341,16,1423
gmfgraph_1.30,229,356,15,1492
gmfmap,155,259,15,1231
gmfmap_2007,139,232,12,1084
Golang,2321,2319,76,4589
GoModel,8,7,7,203
googleanalytics,4,3,8,203
gore,76,117,14,945
gpx,126,136,13,929
Gra2MoL,156,196,12,846
graal-featureextensions,4,3,9,300
graal,72,134,10,631
gradingsystem,29,39,9,335
Grafcet,1,0,8,347
grammar,28,43,10,369
graph,22,30,8,313
graphdef,111,156,11,857
GraphEditor,36,50,8,390
GraphEditorModel,13,19,8,278
GraphicalProcessEditorModel,20,31,10,382
graphics,22,34,10,330
graphiti,171,269,16,1100
GraphML,49,74,8,478
graphO,16,21,6,308
graphTransformation,56,108,11,510
GraphViewMapping,23,38,9,360
GraphViewStyle,12,12,11,346
GraphVizDot,45,64,12,375
Greetings,9,13,10,198
groundspeak,72,83,10,605
GSML,31,44,10,335
gsn,19,29,10,313
gsz,28,45,10,502
GUI,101,128,14,764
GuiceModules,15,19,9,372
GUIdancerComponentHierarchy,15,25,10,381
Guixdsl,9,11,9,200
GWPNV1,12,27,8,326
GWPNV2,22,53,9,341
GWPNV3,19,44,9,315
GWPNV4,20,45,8,317
GWPNV5,23,52,7,327
GXL,11,16,8,190
Hadoop,39,45,12,376
HAL,1,0,8,426
harmonica,25,32,10,354
HaxeDSL,41,57,8,342
hazard,61,69,10,486
hbauditing,25,26,9,385
hbmodel,50,53,10,507
Headline,3,2,9,241
hedl,42,66,9,555
Hello,5,5,6,193
HelloBuck,5,5,10,203
HelloInferrer,12,13,7,367
HelloJvmTypes,9,10,9,184
HelloScoping,12,16,8,186
HelloXbase,7,7,7,220
henshin,85,162,13,774
henshinlayout,21,24,10,327
hExample_1_RHS,5,5,8,191
hExample_3_RHS,4,3,6,190
hExample_4_LHS,4,3,8,190
hExample_4_RHS,3,2,6,189
hExample_6_LHS,13,17,6,248
hexfile,12,13,6,243
HierarchicalSignalFlow,1,0,5,323
HierarchicalStateMachine,60,131,12,663
highway,170,186,11,602
hipadaba,30,35,6,347
hivpredrt,36,41,7,334
Hm,359,435,28,2170
hockeyleague,78,99,9,488
HOOPL,17,25,6,360
house,44,70,8,451
HPROF,72,102,10,507
HSM,11,16,7,222
HTML,217,285,15,1109
HTTP,14,18,8,666
HybridAutomata,87,84,10,415
IAC,21,27,6,349
iaca,61,96,8,498
IAFlowGraph,12,14,7,482
iasted.owl,831,1703,49,3812
ICM,73,105,10,600
ID,8,8,8,246
idbag,4,3,7,246
idc,224,392,16,1470
identifiable,4,3,7,220
identification,16,25,8,392
idl,70,127,9,728
IDLMM,98,146,12,628
IdObjectsDsl,34,33,7,407
IEEE1471ConceptualModel,1,0,7,376
IEEE1471ViewpointM2,34,62,11,407
ifc2x3,4487,6350,220,11959
ifc2x3tc1,4497,6369,200,17898
IFC2X3_TC1,3351,5223,171,15078
IFC2X4_RC3,5117,7391,238,18881
IFConfiguration,72,118,11,855
IFML,124,214,12,873
ifStatement,25,35,8,377
Images,3,2,7,370
imgpro,106,141,11,791
imml,63,89,8,592
imperativeocl,81,107,13,1009
ImperativeOCLCS,68,88,9,605
implementation,18,20,8,349
ImpModLang,27,45,8,322
import,11,11,7,303
IMSTransactionMessage,1,0,5,297
in2,6,3,8,288
IncQueryXcore,8,8,8,372
indexer,12,14,8,531
infosystem,163,162,13,648
inheritancemapping,32,38,10,547
Initialization,11,13,7,306
inject,3,3,8,313
input,5,4,8,314
inputMetamodel,7,7,6,287
instance,98,155,16,3353
InstanceModel,21,38,8,317
Instances,11,11,8,298
instantiation,26,39,9,326
instantiationRecipe,6,6,8,303
Insurance,19,19,9,303
IntegrationOfOCL_ExpressionsInUML,42,58,9,510
Intent,37,47,10,475
interaction,40,73,8,572
InteriorPlanningLang,86,105,13,512
InternalSM,55,77,9,589
interpreter,4,3,6,360
inventory,54,100,10,525
IOI,20,27,9,319
iolist,161,203,28,991
iplog,60,70,8,481
Iptables,45,58,9,539
ir,144,231,11,977
IRL,118,251,11,913
IsabelleProofProcess-v1.0.0.10,32,38,8,501
IsabelleProofProcess,32,38,11,497
it.matiuz.menumaker.model,21,21,7,304
itemlist,12,16,6,309
Izpack,272,286,21,883
J2SE5,238,463,18,1687
jamopp,376,798,33,5674
Java-20040316,27,54,9,450
Java,373,794,26,5120
JAVA3,37,74,10,473
java5,297,574,21,2048
JavaAbstractSyntax,1,0,36,753
JavaBehavior4UML,11,10,16,275
javaforms,3,2,6,261
javaformscodegen,2,1,5,283
JavaFXAntTask,139,166,11,779
javalogtrace,3,2,8,471
JavaProject,31,49,21,462
javaproperties,8,8,7,276
JavaSource,13,22,7,284
JavaTypes,4,3,8,267
JavaVMTypes,118,212,13,993
javaz,58,78,9,477
java_templates,85,84,10,727
jaxrpcmap,87,107,11,786
jBPM5Extensions,26,28,7,481
jca,80,98,11,732
jdsl,48,62,10,510
jdt,11,11,7,267
JDTAST,92,140,13,1263
jedihelp,26,26,9,291
JenaRules,41,63,9,475
Jess,126,236,14,949
jex,60,94,9,501
JKind,129,181,11,738
Jnario,24,34,10,470
joblet,7,7,8,625
jobtool,31,41,8,547
JourneyModel,88,95,10,540
jpa-mixed,15,16,8,308
JPas,60,86,8,541
jpdl32,347,491,22,2167
js,11,14,7,471
jsflibraryregistry,24,31,7,487
jsm,142,281,15,990
json,19,26,8,276
jsp,15,16,6,462
jtemplates,5,3,7,265
junit,21,33,11,300
Junitresult,48,60,12,501
JWTMetaModel,124,218,12,925
kaom,27,40,8,318
Kappa,61,89,9,528
Karel,57,81,11,570
KarteikastenSystem,40,58,10,501
kdm-09-05-23,671,1232,31,3903
kdm-modisco,683,1264,45,4018
KDM,671,1232,33,3903
