model,nodes,edges,time,mem
GraphVizDot,45,64,8,367
Greetings,9,13,7,211
groundspeak,72,83,11,547
GSML,31,44,9,366
gsn,19,29,9,344
gsz,28,45,7,366
GUI,101,128,12,726
GuiceModules,15,19,9,341
GUIdancerComponentHierarchy,15,25,7,344
Guixdsl,9,11,5,210
GWPNV1,12,27,5,344
GWPNV2,22,53,8,367
GWPNV3,19,44,9,344
GWPNV4,20,45,9,366
GWPNV5,23,52,7,341
GXL,11,16,6,209
Hadoop,39,45,7,344
HAL,1,0,6,343
harmonica,25,32,9,344
HaxeDSL,41,57,7,367
hazard,61,69,8,547
hbauditing,25,26,9,366
hbmodel,50,53,9,546
Headline,3,2,8,208
hedl,42,66,10,499
Hello,5,5,6,210
HelloBuck,5,5,8,211
HelloInferrer,12,13,7,344
HelloJvmTypes,9,10,7,211
HelloScoping,12,16,7,211
HelloXbase,7,7,7,208
henshin,85,162,12,722
henshinlayout,21,24,8,343
hExample_1_RHS,5,5,9,211
hExample_3_RHS,4,3,7,211
hExample_4_LHS,4,3,7,211
hExample_4_RHS,3,2,8,211
hExample_6_LHS,13,17,7,211
hexfile,12,13,9,210
HierarchicalSignalFlow,1,0,8,208
HierarchicalStateMachine,60,131,9,546
highway,170,186,15,684
hipadaba,30,35,9,344
hivpredrt,36,41,9,366
Hm,359,435,24,2165
hockeyleague,78,99,12,545
HOOPL,17,25,7,208
house,44,70,10,364
HPROF,72,102,12,546
HSM,11,16,9,211
HTML,217,285,16,1225
HTTP,14,18,9,742
HybridAutomata,87,84,10,414
IAC,21,27,8,366
iaca,61,96,11,546
IAFlowGraph,12,14,8,473
iasted.owl,831,1703,48,2182
ICM,73,105,9,598
ID,8,8,7,212
idbag,4,3,8,212
idc,224,392,18,1384
identifiable,4,3,6,212
identification,16,25,10,356
idl,70,127,12,706
IDLMM,98,146,13,609
IdObjectsDsl,34,33,9,393
IEEE1471ConceptualModel,1,0,7,358
IEEE1471ViewpointM2,34,62,7,381
ifc2x3,4487,6350,222,10819
ifc2x3tc1,4497,6369,212,17352
IFC2X3_TC1,3351,5223,176,14902
IFC2X4_RC3,5117,7391,244,18887
IFConfiguration,72,118,11,758
IFML,124,214,11,948
ifStatement,25,35,10,343
Images,3,2,8,343
imgpro,106,141,11,789
imml,63,89,10,583
imperativeocl,81,107,10,994
ImperativeOCLCS,68,88,11,581
implementation,18,20,7,318
ImpModLang,27,45,9,348
import,11,11,8,292
IMSTransactionMessage,1,0,5,318
in2,6,3,5,292
IncQueryXcore,8,8,7,292
indexer,12,14,9,466
infosystem,163,162,12,603
inheritancemapping,32,38,8,466
Initialization,11,13,9,318
inject,3,3,6,292
input,5,4,8,292
inputMetamodel,7,7,7,292
instance,98,155,20,3358
InstanceModel,21,38,7,289
Instances,11,11,6,289
instantiation,26,39,8,292
instantiationRecipe,6,6,9,318
Insurance,19,19,8,292
IntegrationOfOCL_ExpressionsInUML,42,58,9,494
Intent,37,47,9,467
interaction,40,73,10,495
InteriorPlanningLang,86,105,10,495
InternalSM,55,77,8,492
interpreter,4,3,7,291
inventory,54,100,9,494
IOI,20,27,9,292
iolist,161,203,14,955
iplog,60,70,9,467
Iptables,45,58,16,538
ir,144,231,12,951
IRL,118,251,12,896
IsabelleProofProcess-v1.0.0.10,32,38,8,467
IsabelleProofProcess,32,38,8,495
it.matiuz.menumaker.model,21,21,9,291
itemlist,12,16,8,292
Izpack,272,286,17,860
J2SE5,238,463,19,1591
jamopp,376,798,29,5697
Java-20040316,27,54,8,462
Java,373,794,28,5019
JAVA3,37,74,11,464
java5,297,574,22,2021
JavaAbstractSyntax,1,0,21,802
JavaBehavior4UML,11,10,7,264
javaforms,3,2,7,264
javaformscodegen,2,1,6,285
JavaFXAntTask,139,166,16,745
javalogtrace,3,2,7,444
JavaProject,31,49,10,464
