model,nodes,edges,time,mem
HSM,11,16,7,229
HTML,217,285,13,1246
HTTP,14,18,8,669
HybridAutomata,87,84,10,449
IAC,21,27,7,254
iaca,61,96,8,594
IAFlowGraph,12,14,7,519
iasted.owl,831,1703,44,10235
ICM,73,105,11,593
ID,8,8,6,222
idbag,4,3,6,221
idc,224,392,15,1439
identifiable,4,3,5,221
identification,16,25,7,379
idl,70,127,10,789
IDLMM,98,146,11,648
IdObjectsDsl,34,33,9,399
IEEE1471ConceptualModel,1,0,5,222
IEEE1471ViewpointM2,34,62,8,399
ifc2x3,4487,6350,275,10479
ifc2x3tc1,4497,6369,211,31608
IFC2X3_TC1,3351,5223,169,16937
IFC2X4_RC3,5117,7391,247,8974
IFConfiguration,72,118,9,652
IFML,124,214,14,996
ifStatement,25,35,9,308
Images,3,2,6,293
imgpro,106,141,9,794
imml,63,89,9,538
imperativeocl,81,107,10,992
ImperativeOCLCS,68,88,9,691
implementation,18,20,7,284
ImpModLang,27,45,6,437
import,11,11,6,270
IMSTransactionMessage,1,0,4,245
in2,6,3,5,245
IncQueryXcore,8,8,8,258
indexer,12,14,9,456
infosystem,163,162,12,550
inheritancemapping,32,38,7,425
Initialization,11,13,7,255
inject,3,3,6,245
input,5,4,6,246
inputMetamodel,7,7,6,246
instance,98,155,15,3221
InstanceModel,21,38,8,258
Instances,11,11,6,259
instantiation,26,39,6,258
instantiationRecipe,6,6,8,246
Insurance,19,19,6,258
IntegrationOfOCL_ExpressionsInUML,42,58,7,450
Intent,37,47,6,424
interaction,40,73,8,451
InteriorPlanningLang,86,105,9,494
InternalSM,55,77,9,626
interpreter,4,3,6,269
inventory,54,100,9,506
IOI,20,27,6,259
iolist,161,203,14,972
iplog,60,70,9,663
Iptables,45,58,8,450
ir,144,231,12,925
IRL,118,251,12,905
IsabelleProofProcess-v1.0.0.10,32,38,8,424
IsabelleProofProcess,32,38,10,437
it.matiuz.menumaker.model,21,21,9,258
itemlist,12,16,6,258
Izpack,272,286,17,889
J2SE5,238,463,17,1735
jamopp,376,798,27,5658
Java-20040316,27,54,8,421
Java,373,794,24,4944
JAVA3,37,74,7,421
java5,297,574,20,1978
JavaAbstractSyntax,1,0,28,725
JavaBehavior4UML,11,10,7,236
javaforms,3,2,8,226
javaformscodegen,2,1,6,225
JavaFXAntTask,139,166,12,894
javalogtrace,3,2,7,392
JavaProject,31,49,17,454
javaproperties,8,8,6,236
JavaSource,13,22,7,236
JavaTypes,4,3,7,225
JavaVMTypes,118,212,11,1024
javaz,58,78,8,452
java_templates,85,84,9,630
jaxrpcmap,87,107,10,838
jBPM5Extensions,26,28,9,451
jca,80,98,10,682
jdsl,48,62,7,477
jdt,11,11,6,236
JDTAST,92,140,9,1254
jedihelp,26,26,8,237
JenaRules,41,63,7,424
Jess,126,236,11,870
jex,60,94,8,445
JKind,129,181,11,693
Jnario,24,34,7,454
joblet,7,7,7,613
jobtool,31,41,7,424
JourneyModel,88,95,9,497
jpa-mixed,15,16,9,245
JPas,60,86,8,454
jpdl32,347,491,22,2172
js,11,14,6,403
jsflibraryregistry,24,31,8,413
jsm,142,281,14,1089
json,19,26,9,247
jsp,15,16,8,403
jtemplates,5,3,6,247
junit,21,33,7,236
Junitresult,48,60,7,435
JWTMetaModel,124,218,20,870
